Stock,merged,Total_true,Total_false,UpTrend_Per,Up_True,Up_false,DownTrend_Per,down_True,down_False
ORIENTELEC.csv,30.77,4,9,50.0,4,4,0.0,0,5
ORIENTPPR.csv,40.0,6,9,46.15,6,7,0.0,0,2
PAGEIND.csv,50.0,6,6,54.55,6,5,0.0,0,1
PAISALO.csv,26.67,4,11,14.29,1,6,37.5,3,5
PARAGMILK.csv,40.0,4,6,0.0,0,1,44.44,4,5
PAYTM.csv,100.0,1,0,-1,-1,-1,100.0,1,0
PCBL.csv,25.0,1,3,0.0,0,2,50.0,1,1
PDSMFL.csv,50.0,3,3,50.0,3,3,-1.0,-1,-1
PEL.csv,33.33,4,8,50.0,3,3,16.67,1,5
PERSISTENT.csv,50.0,3,3,60.0,3,2,0.0,0,1
PETRONET.csv,42.86,6,8,42.86,3,4,42.86,3,4
PFC.csv,22.22,2,7,12.5,1,7,100.0,1,0
PFOCUS.csv,37.5,3,5,60.0,3,2,0.0,0,3
PFS.csv,0.0,0,4,0.0,0,4,-1.0,-1,-1
PGHH.csv,28.57,4,10,44.44,4,5,0.0,0,5
PHOENIXLTD.csv,19.05,4,17,16.67,3,15,33.33,1,2
PIDILITIND.csv,42.86,6,8,50.0,6,6,0.0,0,2
PIIND.csv,33.33,2,4,-1,-1,-1,33.33,2,4
PNB.csv,84.62,11,2,87.5,7,1,80.0,4,1
POLICYBZR.csv,55.56,5,4,-1,-1,-1,55.56,5,4
POLYCAB.csv,37.5,3,5,37.5,3,5,-1.0,-1,-1
POLYPLEX.csv,64.29,9,5,55.56,5,4,80.0,4,1
POWERGRID.csv,33.33,3,6,42.86,3,4,0.0,0,2
POWERMECH.csv,23.08,3,10,33.33,3,6,0.0,0,4
PRAJIND.csv,55.56,5,4,55.56,5,4,-1.0,-1,-1
PRAKASH.csv,25.0,1,3,50.0,1,1,0.0,0,2
PRESTIGE.csv,40.0,2,3,40.0,2,3,-1.0,-1,-1
PRINCEPIPE.csv,58.82,10,7,100.0,4,0,46.15,6,7
PSB.csv,37.5,3,5,60.0,3,2,0.0,0,3
PTC.csv,37.5,6,10,54.55,6,5,0.0,0,5
PURVA.csv,45.45,5,6,20.0,1,4,66.67,4,2
PVR.csv,50.0,6,6,44.44,4,5,66.67,2,1
QUESS.csv,23.08,3,10,33.33,2,4,14.29,1,6
QUICKHEAL.csv,50.0,3,3,0.0,0,1,60.0,3,2
RADICO.csv,35.71,5,9,36.36,4,7,33.33,1,2
RADIOCITY.csv,0.0,0,6,0.0,0,2,0.0,0,4
RAIN.csv,57.14,8,6,50.0,2,2,60.0,6,4
RAJESHEXPO.csv,0.0,0,5,0.0,0,5,-1.0,-1,-1
RAMCOCEM.csv,40.0,4,6,42.86,3,4,33.33,1,2
RANEHOLDIN.csv,10.0,1,9,25.0,1,3,0.0,0,6
RATNAMANI.csv,21.43,3,11,21.43,3,11,-1.0,-1,-1
RBL.csv,50.0,4,4,42.86,3,4,100.0,1,0
RBLBANK.csv,38.46,5,8,62.5,5,3,0.0,0,5
RCF.csv,14.29,2,12,14.29,2,12,-1.0,-1,-1
RCOM.csv,50.0,1,1,-1,-1,-1,50.0,1,1
RECLTD.csv,18.18,2,9,20.0,2,8,0.0,0,1
REDINGTON.csv,10.0,1,9,20.0,1,4,0.0,0,5
RELAXO.csv,44.44,4,5,33.33,1,2,50.0,3,3
RELIANCE.csv,11.11,1,8,0.0,0,5,25.0,1,3
